iter	Passed	Remaining
1390	674921	780695
1391	675487	780304
1392	675997	779848
1393	676461	779338
1394	676960	778868
1395	677489	778433
1396	677978	777952
1397	678421	777418
1398	678875	776897
1399	679453	776518
1400	679991	776093
1401	680584	775729
1402	681044	775215
1403	681577	774784
1404	682097	774338
1405	682600	773872
1406	683101	773404
1407	683644	772984
1408	684150	772522
1409	684652	772055
1410	685206	771646
1411	685728	771202
1412	686267	770776
1413	686775	770315
1414	687308	769883
1415	687815	769421
1416	688320	768956
1417	688759	768418
1418	689249	767937
1419	689785	767507
1420	690260	767009
1421	690757	766537
1422	691272	766083
1423	691795	765639
1424	692283	765155
1425	692721	764616
1426	693179	764100
1427	693774	763735
1428	694301	763294
1429	694778	762798
1430	695284	762334
1431	695784	761864
1432	696329	761443
1433	696835	760978
1434	697293	760463
1435	697723	759916
1436	698242	759466
1437	698768	759023
1438	699270	758555
1439	699812	758129
1440	700230	757571
1441	700749	757120
1442	701264	756666
1443	701712	756139
1444	702239	755696
1445	702749	755237
1446	703285	754805
1447	703755	754301
1448	704284	753861
1449	704786	753392
1450	705317	752954
1451	705798	752463
1452	706287	751980
1453	706775	751496
1454	707215	750961
1455	707748	750524
1456	708276	750083
1457	708771	749605
1458	709304	749168
1459	709782	748674
1460	710228	748146
1461	710744	747691
1462	711237	747213
1463	711738	746741
1464	712231	746263
1465	712704	745763
1466	713216	745304
1467	713683	744797
1468	714195	744338
1469	714685	743856
1470	715204	743404
1471	715649	742874
1472	716116	742368
1473	716617	741898
1474	717109	741418
1475	717671	741009
1476	718052	740416
1477	718452	739840
1478	718944	739360
1479	719434	738879
1480	719957	738430
1481	720450	737951
1482	720951	737480
1483	721370	736925
1484	721844	736427
1485	722322	735932
1486	722846	735485
1487	723334	735000
1488	723824	734518
1489	724319	734041
1490	724814	733564
1491	725315	733093
1492	725769	732575
1493	726258	732092
1494	726774	731636
1495	727230	731119
1496	727764	730681
1497	728270	730214
1498	728776	729749
1499	729267	729267
1500	729754	728782
1501	730251	728306
1502	730702	727785
1503	731251	727361
1504	731736	726874
1505	732259	726424
1506	732754	725947
1507	733249	725469
1508	733718	724965
1509	734195	724471
1510	734666	723970
1511	735170	723500
1512	735674	723032
1513	736142	722528
1514	736630	722043
1515	737117	721558
1516	737551	721021
1517	738070	720567
1518	738430	719957
1519	738896	719451
1520	739361	718945
1521	739784	718398
1522	740232	717874
1523	740715	717385
1524	741214	716912
1525	741677	716403
1526	742157	715912
1527	742656	715438
1528	743128	714939
1529	743650	714488
1530	744148	714012
1531	744669	713560
1532	745113	713034
1533	745604	712553
1534	746058	712036
1535	746541	711547
1536	746991	711026
1537	747434	710499
1538	747928	710021
1539	748391	709513
1540	748885	709035
1541	749311	708492
1542	749816	708024
1543	750346	707580
1544	750890	707149
1545	751452	706735
1546	751994	706301
1547	752499	705833
1548	753089	705443
1549	753576	704959
1550	754081	704490
1551	754620	704053
1552	755092	703553
1553	755583	703071
